web_scraper_order,web_scraper_start_url,title,data3,data4,data5
"1784883441-11","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump (Negative Reviewers are Missing the Point)","jjacques1","Oct 13, 2018",""
"1784883441-12","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Tom Hanks' best performance","fernandez_1989","Dec 22, 2006","This awesome movie is about an innocent man who represents how the world should be: he's loyal, humble, honest, he would never cheat or lie. He does everything with good heart and reaches success at the most important tasks of life.

Only in America he could live such an interesting life: meet Elvis Presley, President Kennedy, John Lennon... He goes to Vietnam's war and he does everything following his heart. He becomes an American hero. 

Gary Sinise is a great American actor in his best performance too. He served in Vietnam with Forrest and was also a hero, protecting his men and fighting for his country.

All in all this is a must-see movie for everyone, specially for non-Americans, so we can enjoy American culture and icons, as well as learn some American history, which is very useful."
"1784883441-13","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Like the chocolate in a box, my feelings are mixed....","Torgo_Approves","Oct 8, 2006",""
"1784883441-14","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Technically Brilliant, Otherwise Barren","richard-mason","Sep 12, 2002","Yes, I watched in awe as Tom Hanks was digitally inserted into all the major events of the second half of the twentieth century, but my already opened jaw then went slack at the banality of the screenplay.

Sorry, but ""Life is like a box of chocolates"" is not a philosophy for a grownup. Or even a retard.

I loved the opening shot, and was really wanting to like this film, but Sally Field is embarrassing, ditto Tom Hanks. Gary Sinise is good, but Robin Wright's character makes no sense.

There IS no moral or philosophical coherence to this film ... it just allows woolly thinkers around the world to project their own feel good mantras onto it.

I give it a 5 for technical achievement

(I stand by for the usual tirade of illiterate and obscene abuse I get when I dare to criticise a sacred cow.)"
"1784883441-15","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Tom Hanks delivers an astounding performance as Forrest Gump.","schmimic","Apr 23, 2005",""
"1784883441-16","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump is a movie masterpiece that won't be forgotten and will continue to inspire","blairgallop7","Dec 15, 2007","He may have been good in Philadelphia but be is excellent in Forrest Gump.Tom Hanks delivers another great performance in his career by portraying the lovable,king yet not so intelligent character Forrest Gump.It is also Tom Hanks' second straight win for the Best Actor Oscar which he becomes the second man to do said accomplishment after Spencer Tracy.Whilst not as dramatic as Philadelphia,Tom Hanks' performance is just as great in this movie and this movie could possibly be the film of Tom Hanks' career as he used to be a comedy guy who turned to drama in a way which would paved for future stars such as Jim Carrey(The Truman Show),Reese Witherspoon(Walk the Line) and Will Ferrell(Stranger Than Fiction) to name a few.Also staring in this great movie classic are Robin Wright-Penn who plays Jenny,Gary Sinise who was nominated for an Academy Award for his portrayal of Lieutenant Dan Taylor,Mykelti Williamson as Forrest's best friend and shrimper Benjamin Buford""Bubba"" Blue and Sally Field as Mrs.Gump.This film was nominated for a total of thirteen Academy Awards but won six of them which include Best Film Editing,Best Visual Effects,Best Adapted Screenplay,Best Picture,Best Director-Robert Zemeckis and Best Actor-Tom Hanks.This is one masterpiece of a movie that will not be forgotten about in a long time.Bravo!"
"1784883441-17","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","why such a low rating???","adinutzza2001","Feb 14, 2005",""
"1784883441-18","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Quite possibly the best movie ever made.","john in missouri","Dec 1, 2007","I've seen most of the top-voted 30 or 40 movies here at IMDb, and Forrest Gump probably wins my vote for the single best movie ever made.

This is not a conclusion I came to the first time I saw this film, or the second. The more you understand about this movie, the more you like it. And in terms of understanding it, my wife and I both were still gaining new understanding the 5th or 6th time we watched it. (For example: Why does Jenny behave exactly as she does throughout the movie? It'll take a lot of thinking to =fully= understand her.)

Just the fact that we've seen it at least half a dozen times says a lot. There are few movies that I ever even give a second viewing. 

Like many of the truly good movies, there are people out there who see it once and consider it to be a waste of time. Such people are usually just looking for the most ""action,"" gore and sex they can find, and haven't a clue about films that actually involve thought, ideas, and life.

Did I mention the script is absolutely brilliant? There are a lot of =truly= funny moments. And the music rocks. But those are only specific aspects of a movie that has just about everything else right about it as well.

See it, enjoy it, think about it, see it again. Think about it some more. Forrest Gump is one of the greatest movies -- if not THE greatest -- ever made."
"1784883441-19","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Contemporary classic: one of my all-time faves","george.schmidt","Mar 13, 2003",""
"1784883441-20","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Mama said ...","kosmasp","Feb 12, 2021","Take this with a grain of salt and don't be mad about certain things. Like one of the first flashbacks to the very beginning that does not come over preachy when it talks about the Klan (Ku Klux Klan that is, just in case you think I'm talking about any other Klan). Maybe sometime in the near future there will be a disclaimer and someone giving this context. But until then, you have to be educated enough yourself to understand and comprehend certain things. And you have to have a certain sense of humor to dig all the coincidences that Gump comes across at. It's alike a marathon through many landmarks of the short US history we have behind us. Like the Watergate scandal, Vietnam War, Black Panthers and so much more.

If you can dig all that and go with the flow, than the chocolate box this opens up for you, will taste quite delicious. It had been quite a while since I saw this the first time, but it still worked its charme to say the least. Great movie, great actors - you have to be in the right mind set and mood though. And be able to forgive certain things ..."
"1784883441-21","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Encapsulating...","Xstal","Dec 25, 2020","... all that is, all that was and all that will ever be, through the life experiences of the titular character performed to perfection by Tom Hanks whose generous performance leaves us humbled and in awe of what we can achieve, how we can achieve it and why we would want that achievement in the first instance. A piece of cinematic storytelling that will perpetually resonate no matter who or what you are, where you are going or who you are going with - timeless."
"1784883441-22","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Beautiful film","TheLittleSongbird","Nov 22, 2009",""
"1784883441-23","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","a box of chocolate","Kirpianuscus","Dec 22, 2015","more than adaptation , it is a visual parable. about vulnerability and its magnificent potential. about innocence and its importance to discover the real essence of life. about love, family, fight and courage. a film like a revolution. because it propose the best manner to be yourself and to not be a victim walking on that way. more than story of Forrest Gump, it is the story of people around him. a film like a Rubick cube - many faces, each for complete right color. and a image who remains its mark - the box of chocolate, the run, the ping - pong match. it seems be the best role of Tom Hanks. in fact, it is definition of a new period after the Cold War. a pledge. about the small things."
"1784883441-24","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Jenny is bad.","Spyrosmoviebuddy","Jan 11, 2020",""
"1784883441-25","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Revisionist history:- after only 30 years.","Kane III","Jan 3, 2000","The thing that really spoils my enjoyment of this film is the way history is re-written.

Not ancient history, but history which I lived through. In real-life the anti-war protesters were venting their disapproval of what they earnestly felt was an immoral war. They took a lot of knocks from the powers that be for their troubles as well.

This movie depicts them as shallow, selfish, manipulative, power-driven, and even violent people (there's irony for you!) who were ""Unamerican"" in every sense of the word.

The odious message of this movie is that ignorance is bliss. Don't think about things and everything will work out nicely and you will be happy. Well at least you'll get rich - which in most American movies is close enough.

It's enough to make a person gag.

Oh, and the fact it beat Pulp Fiction and Shawshank Redemption to the best picture Oscar doesn't help either."
"1784883441-26","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","One of the best films of the 90's","Quinoa1984","Apr 1, 2000","Winston Groom's Forrest Gump was a novel that was complicated, but (Oscar winning) director Robert Zemeckis brings events together with visual effects that boggle even George Lucas. 

And leading the film in this odyssey of American life is Tom Hanks playing Gump (he won his second Oscar for his portrayal) in a film that shows one man who goes through many events in history to find the one he loves.  Well done, well acted, and well directed to pythagorean procision. A++"
"1784883441-27","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","The Hand Of An Unseen Providence","bkoganbing","Feb 13, 2010","When Tom Hanks won his first Oscar for Philadelphia in 1993 the film received a total of five nominations. His second Oscar for Forrest Gump came in a film that received more than double that in nominations and awards. If Forrest Gump did nothing else it solidified Hanks's credentials as a serious actor. He would never be doing imitations of his Bosom Buddies character in films again.

It also among other awards also won for Best Picture and Best director for Robert Zemeckis, richly deserved. The film is Huckleberry Finn like in its canny observations coming from the man who had an IQ we are told of 75. But as Forrest also tells us, ""stupid is as stupid does"". And Forrest with the hand of an unseen providence comes out a lot better than some of the clever people he meets in life.

Watching the film once again it occurred to me that Mark Twain if he couldn't have written this himself would have loved the way Zemeckis handled the character of Forrest Gump. The beauty of Huckleberry Finn and the secret of its success is that Twain got into the mind of a child who recorded all the events around him, a child without too much education. What Zemeckis did was get Hanks into a child like mind who sees things with amazing clarity stripped of any veneer of pretense. Which Hanks observes in the people around him and in the events that shape America and himself from Eisenhower to Reagan.

There are two prominent female parts in Forrest Gump. One is for Robin Wright who plays the abused child Julie as an adult. She is Forrest's love and best friend and she takes a different path of life one she chose with more deliberation than Hanks. Their fates though eventually entwined are radically different. 

The second major female role is for another two time Oscar winner Sally Field who now is playing matronly parts, a far cry from Gidget and the Flying Nun. She gives Forrest the maxims he lives by and in a crisis they turn out to be more than sound bite clichés.

Another award that Forrest Gump won is for Special Effects and an award it didn't win was for Gary Sinise in the role of Lieutenant Dan Taylor, Forrest's commanding officer in Vietnam. That's something that does not compute because the special effects were to show Gary Sinise as a double amputee with both legs lost in Vietnam.

It's some amazing bit of work no doubt about it, but to honor it without Sinise whose performance really brings it off is ridiculous. Sinise is the educated one who curses the fate that happened to him, but in the end by just going with the flow he does prosper in the end. Sinise lost that year in Best Supporting Actor category to Martin Landau for Ed Wood, but I think Sinise's performance has had a more lasting impact.

To those Americans who serve our country it certainly has. Gary Sinise has devoted a great deal of his life and earned treasure to bring entertainment to our overseas troops in Iraq, Afghanistan, wherever, becoming a successor to Bob Hope in that regard. He's gone further than that though, setting up foundations to help civilians in both countries and contributing to numerous charities dealing with war and its aftermath. Doing that in my humble opinion Gary Sinise has become one of the great Americans of our brand new millenia, a lot more than just an actor. He's forever now known as Lieutenant Dan.

In the end though the film belongs to Tom Hanks who joined with Spencer Tracy as the only two male actors to win back to back Oscars for Best Actor. Hanks fascinates us and guides us through this film and when we're done we've seen something very special.

If you don't believe me about how good Forrest Gump is, then watch it for a few minutes and see if you're not sucked in. Like Forrest's mama says, the film's like life which is like a box of chocolates, you never know what you'll get until you open it."""
"1784883441-28","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","An Amazing Movie","tightspotkilo","Nov 19, 2008",""
"1784883441-29","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","You need to watch it again and again.","simelemontolomeo-56461","Apr 13, 2021",""
"1784883441-30","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","""I just felt like running"".","classicsoncall","Jun 12, 2011",""
"1784883441-31","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Forrest Gump","mimiandbug","May 7, 2026","""My mama always said, 'Life was like a box of chocolates. You never know what you're gonna get.'""... we got a masterpiece, notably one of the greatest films of all time and its weaving of Forrest's life experiences with historical events was done effortlessly, as if it actually happened the way Forrest told it. Laughs were shared and tears were shed... that's a great film.

Watched - March 19, 2024."
"1784883441-32","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","amazing","katarinaherd","Aug 19, 2019","Amazing movie filled with laughter, tears, and love. this movie is the best movie and everyone needs to watch it. Tom Hanks plays the character amazing."
"1784883441-33","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Will be classic in years to come","pbm","Sep 11, 1998","Forrest Gump is one of the best films Tom Hanks has done. In this 1994 film his portrayal of Forrest recaptures the sprit of his classic performance in Big (1988). The rest of the cast is also top notch with Sally Field and Gary Sinse turning in performances that deserved Oscars. Mention must be made of the two actors who portray Young Forrest and Young Jenny who also put in a good performance (although Hanna R. Hall who plays Young Jenny will probably forever be associated with the line ""Run Forrest Run!"")

In conclusion, a film which given time to mature will be a classic."
"1784883441-34","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Neither as good or as bad...","Hairy_Lime","Dec 18, 2003","People seem of two minds about this film: it either moves them to tears or to nausea.  But in reality, it is a well-made film with some strong performances but not more than that.  The core of this movie that is as simple minded as the title character; the facile speciousness of the movie's reactionary attacks on matters I agreed with made me realize just how shallow the movie's entire argument is.

But beyond that, the movie is very well made; Hanks's performance could have been annoying in other hands but works well here.  Sinise was excellent as well.  Robin Wright's performance was adequate - I try not to blame her for the movie's implied argument that the social movements of the 60's and 70's were a working out of childhood neuroses - but never really stuck to me. The technical aspects of the film are outstanding, and the movie has a lot of laughs and tears despite its empty headed core.

If it helps anyone, this is my wife's favorite movie.  But then, she fell asleep during Casablanca, so...."
"1784883441-35","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","How is Gump ageing?","PaulLondon","Jul 25, 2002","I recently saw this film again and was interested to see whether it had improved with time or I had mellowed in my opinion of it. Not a chance! The film looks even more tritely prelapsarian than ever. Basically the film is an unashamedly reactionary piece of brain candy floss, sickly and insubstantial. 

In this films universe Simplicity = Good Social change = Bad. Agents of social change = very bad and therefore they must contract AIDS. If it wasn't so nauseating it would be funny. 

Unfortunately, the Academy took it seriously and it picked up Oscars, when they should have booed it off the screen. Cynically sickly and morally bankrupt its a disgrace.

Incidentally Jamie Russell in his book ""Vietnam War Movies"" wrote; ""Forrest Gump is Hollywood at its most horrendous...Whats most worrying is that the British Board of Film Classification saw fit to give this evil little film a U certificate. How can we protect our children against such insidious brainwashing"" How accurate an insight."
"1784883441-36","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Hands down, my favourite movie!","mysluc","Apr 23, 2026",""
"1784883441-37","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Why are you reading the comments?! Go watch it!","jsinwow040478","Mar 6, 2026","I've watched this movie more times than I can count. Even though I'm not part of the boomer generation, it beautifully portrays significant events from that era through the eyes of a simple person. Tom Hanks has starred in many fantastic films, but I believe this is his finest performance. The movie is filled with memorable quotes that are still referenced today. If you're one of the rare individuals who hasn't seen it yet, I highly recommend giving it a try. It never drags, and there's not a dull moment to be found. Plus, the soundtrack perfectly captures the essence of the pop culture from those years. I honestly don't know anyone who dislikes this film, and if you do happen to hate it, you must be quite unique-perhaps even more simple than Mr. Gump himself!"
"1784883441-38","https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ov_ql_2","Real Message","colephelps-84155","May 30, 2016","My friend suggested me to watch this movie. I didn't expect anything out of it, just wanted to pass some time. After the movie ended, I felt like I had never seen anything like this before.. It even made me write a review. Such a beautifully made movie, has got everything. Teaches you about the power of love and innocence. Sometimes we take our life as granted and all we think is we don't have anything. This movie tells you how to realize and work with all that you have, no matter how you are. Brilliant way of telling a story of a young boy Forrest and his life. Not only through the eye of Forrest, but a mother, a friend and general people. The way your innocence wins over anyone you come across is exceptional, and all you will leave behind is love and respect. Magnificent movie."
